ProductName,Stars,Ratings,Reviews,Current_Price,MRP,Proccessor,Ram,Storage,,,,,,,,,
ASUS Vivobook 15 Touch Core i5 11th Gen,4.3,135,14,51990,74990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Lenovo Ryzen 5 Hexa Core 5600H,0,0,0,59490,89490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,4.5,605,86,45990,62990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5,4.2,391,35,38990,57990,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS Vivobook 14 (2022) Core i5 12th Gen,4.2,10,1,56990,70990,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS Vivobook 15 Core i5 11th Gen,4.2,149,15,50990,69990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5,4.4,424,58,58490,76890,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS VivoBook K15 OLED Ryzen 5 Hexa Core AMD R5,4.5,742,79,58990,80990,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
HP Victus Ryzen 5 Hexa Core 5600H,5,5,1,59990,76021,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Inspiron Ryzen 5 Hexa Core 5625U,4.2,18,4,52490,69031,Processor: R5-5625U (2.30 GHz up to 4.30 GHz),RAM & Storage: 8GB DDR4 & 512GB SSD,Software: Win 11 + Office H&S 2021,,,,,,,,,
acer Aspire Core i3 12th Gen,4.3,34,6,42990,54999,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Core i5 12th Gen,3.4,11,0,57990,80473,Processor: Intel i5-1235U (Base- 3.30 GHz & Turbo up to 4.40 GHz) 10 Cores,RAM & Storage: 8GB DDR4 & 1TB + 256GB SSD,"Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border",,,,,,,,,
